feature_id,failure_pr_auc,failure_baseline,failure_normalized_effect,failure_null_mean,failure_null_sd,failure_effect_null_mean,failure_effect_null_sd,failure_effect_to_variability,success_pr_auc,success_baseline,success_normalized_effect,success_null_mean,success_null_sd,success_effect_null_mean,success_effect_null_sd,success_effect_to_variability,selected_direction,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum
0,0.7248948642793425,0.724561403508772,0.0012106537530266704,0.7247995138168335,0.0001505416294094175,0.0008656866266392171,0.0005465513095259666,0.6311706154114776,0.2754385964912281,0.27543859649122804,7.661345327316455e-17,0.2760963439941406,0.0010416406439617276,0.0009076370042748749,0.0014376152539625764,-0.6313490356846378,high_activation_associated_with_failure,0.7248948642793425,0.0012106537530266704,0.6311706154114776,1.0,False,1,0.0008771929824561404,2,0.0002353747986489907,0.0,0.2683272659778595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003248514258302748,0.0,0.2683272659778595
1,0.725895246591054,0.724561403508772,0.004842615012106682,0.7250527143478394,0.0007024190272204578,0.001782290986739099,0.0025501830969005823,1.2000409025873517,0.2754385964912281,0.27543859649122804,7.661345327316455e-17,0.27690744400024414,0.0019913979340344667,0.002027273876592517,0.0027484179008752108,-0.737614856877068,high_activation_associated_with_failure,0.725895246591054,0.004842615012106682,1.2000409025873517,1.0,False,4,0.0035087719298245615,5,0.00041108267032541335,0.0,0.23916184902191162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005673537962138653,0.0,0.23916184902191162
2,0.8023149181234499,0.724561403508772,0.2822898301297225,0.7269357442855835,0.013027147389948368,0.008620064705610275,0.047296009957790375,5.786318246895468,0.21853191632531194,0.27543859649122804,-0.07853948594327403,0.2789829671382904,0.013386155478656292,0.0048917983658611774,0.018474837765097618,-4.5159413776694874,high_activation_associated_with_failure,0.8023149181234499,0.2822898301297225,5.786318246895468,0.004975124378109453,True,1140,1.0,1139,3.3054442405700684,3.2982959747314453,4.725944995880127,2.6192498207092285,3.007892608642578,3.575873851776123,4.051603317260742,3.1823840141296387,3.1982476711273193,4.6323652267456055,3.3522250652313232,3.3466501235961914,4.725944995880127
3,0.7997220749716113,0.724561403508772,0.27287632314534027,0.7259802222251892,0.013265918008983135,0.005150982644408941,0.048162881284952164,5.558748425306076,0.2184768673574432,0.27543859649122804,-0.07861546151636163,0.27985554933547974,0.013871920295059681,0.006095973774790764,0.019145265221595764,-4.424667629863822,high_activation_associated_with_failure,0.7997220749716113,0.27287632314534027,5.558748425306076,0.004975124378109453,True,1140,1.0,1140,3.0728352069854736,3.045491933822632,5.304811477661133,2.237764596939087,2.6776838302612305,3.436919689178467,4.022477626800537,2.905959129333496,2.8530921936035156,4.95921516418457,3.1362714767456055,3.117201328277588,5.304811477661133
4,,0.724561403508772,,,,,,,,0.27543859649122804,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7692965182907079,0.724561403508772,0.1624141109917419,0.725464403629303,0.012456242926418781,0.003277773503214121,0.045223306864500046,3.518900950019836,0.24117062290321525,0.27543859649122804,-0.04729478194955759,0.2802584171295166,0.01302686519920826,0.006652080453932285,0.017978966236114502,-3.000554186209347,high_activation_associated_with_failure,0.7692965182907079,0.1624141109917419,3.518900950019836,0.6417910447761194,True,1140,1.0,1140,2.4266934394836426,2.427745819091797,3.9303386211395264,1.8318958282470703,2.1847317218780518,2.665177345275879,3.036259412765503,2.34716534614563,2.3283677101135254,3.527867555618286,2.4569268226623535,2.462414264678955,3.9303386211395264
6,0.774737745355652,0.724561403508772,0.1821688844122396,0.7272327542304993,0.01236640103161335,0.0096984151750803,0.04489711672067642,3.841459804872763,0.23659485027723393,0.27543859649122804,-0.053610012934568144,0.27851083874702454,0.01283422950655222,0.004240021575242281,0.01771310716867447,-3.2659450405244477,high_activation_associated_with_failure,0.774737745355652,0.1821688844122396,3.841459804872763,0.30845771144278605,True,1140,1.0,1140,4.131956100463867,4.086838722229004,6.833017349243164,3.007845878601074,3.627223014831543,4.5657501220703125,5.420045375823975,3.998551845550537,3.983372688293457,6.353825092315674,4.182661056518555,4.1268815994262695,6.833017349243164
7,0.7248948642793425,0.724561403508772,0.0012106537530266704,0.7247962951660156,0.00015208504919428378,0.0008535791421309114,0.0005521549028344452,0.6466928194655951,0.2754385964912281,0.27543859649122804,7.661345327316455e-17,0.27611956000328064,0.0010523205855861306,0.0009394839289598167,0.0014523559948429465,-0.6468689028693224,high_activation_associated_with_failure,0.7248948642793425,0.0012106537530266704,0.6466928194655951,1.0,False,1,0.0008771929824561404,2,0.00012832880020141602,0.0,0.14629483222961426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017711239343043417,0.0,0.14629483222961426
8,,0.724561403508772,,,,,,,,0.27543859649122804,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.7839390479718427,0.724561403508772,0.21557488754108473,0.7259072065353394,0.013486103154718876,0.004886085167527199,0.04896228015422821,4.30308395993611,0.22913210081734803,0.27543859649122804,-0.06390969136588766,0.28008729219436646,0.014738989062607288,0.006415873300284147,0.020341947674751282,-3.457169676700177,high_activation_associated_with_failure,0.7839390479718427,0.21557488754108473,4.30308395993611,0.03482587064676617,True,1140,1.0,1140,3.4788172245025635,3.472960948944092,5.108761787414551,2.7065351009368896,3.187002658843994,3.791882276535034,4.253402233123779,3.365403175354004,3.340930938720703,4.956377029418945,3.5219318866729736,3.523160457611084,5.108761787414551
