feature_id,decoder_base_norm,decoder_finetuned_norm,decoder_cosine,decoder_difference_norm,encoder_base_half_norm,encoder_finetuned_half_norm,encoder_half_cosine,active_texts,active_tokens
9537,0.6970767974853516,0.7169963121414185,0.937099039554596,0.25154122710227966,0.9274820685386658,0.9391595721244812,0.7034852504730225,991,13591
12883,0.8042890429496765,0.5942384004592896,0.7216426730155945,0.5569534301757812,0.9640172719955444,0.7999209761619568,0.47173357009887695,2458,33639
3602,0.6215397119522095,0.7833818197250366,0.894270658493042,0.35938021540641785,0.8589284420013428,0.9964037537574768,0.615389347076416,1474,10772
5422,0.6941489577293396,0.7198312878608704,0.932729959487915,0.2605482339859009,0.8584480285644531,0.882802426815033,0.7219064831733704,558,1915
14295,0.684542715549469,0.7289717197418213,0.938444972038269,0.25181132555007935,0.8676932454109192,0.8969401121139526,0.6425430774688721,1628,21660
13397,0.7305936813354492,0.6828122138977051,0.708858072757721,0.5410735607147217,0.9678311347961426,0.8975846171379089,0.4537195563316345,1993,8318
15916,0.701469898223877,0.7126986980438232,0.9489214420318604,0.22627156972885132,0.9661561250686646,0.9708313941955566,0.7550599575042725,780,2657
10168,0.6938591003417969,0.720110297203064,0.9509568214416504,0.2229331135749817,0.9184482097625732,0.9317150115966797,0.7300112247467041,906,7228
13801,0.6904844641685486,0.7233478426933289,0.9635607004165649,0.19359540939331055,0.9669519066810608,0.9962456226348877,0.6939556002616882,1413,13416
12308,0.6756479144096375,0.7372246384620667,0.9395259618759155,0.25305384397506714,0.9121487736701965,0.9930760860443115,0.7092365026473999,768,11853
