feature_id,benchmark,task_id,task_idx,source_text,tokens,filename,rms_normalized,transition,base_label,finetuned_label,max_activation,mean_activation,early_max_activation,active_tokens,active_fraction,first_position,first_percent,argmax_position,argmax_percent,encoder_base_contribution_at_max,encoder_finetuned_contribution_at_max,token_at_max,context_at_max
13147,humanevalplus,HumanEval/0,0,codellama_base,56,same_text__humanevalplus__task_0000__gen_00__HumanEval_0.npz,True,regression,0,1,0.0,0.0,0.0,0,0.0,-1,-1,0,0.0,0.9498909115791321,-2.7799224853515625,  ,   for i in range(len(numbers) - 1):\n        for
13147,humanevalplus,HumanEval/1,1,codellama_base,13,same_text__humanevalplus__task_0001__gen_00__HumanEval_1.npz,True,both_fail,1,1,18.84817123413086,5.196164608001709,2.6042377948760986,10,0.7692307692307693,0,0.0,8,61.53846153846154,4.424643516540527,14.425783157348633,"
",  # TODO: Write your code here\n    return []\n
13147,humanevalplus,HumanEval/2,2,codellama_base,9,same_text__humanevalplus__task_0002__gen_00__HumanEval_2.npz,True,both_pass,0,0,0.0,0.0,0.0,0,0.0,-1,-1,0,0.0,0.5855170488357544,-2.4801177978515625,  ,   return number - int(number)\n
13147,humanevalplus,HumanEval/3,3,codellama_base,34,same_text__humanevalplus__task_0003__gen_00__HumanEval_3.npz,True,regression,0,1,0.0,0.0,0.0,0,0.0,-1,-1,0,0.0,1.3598711490631104,-2.3176114559173584,  ,   balance = 0\n    for operation in operations:\n        balance += operation
13147,humanevalplus,HumanEval/4,4,codellama_base,513,same_text__humanevalplus__task_0004__gen_00__HumanEval_4.npz,True,regression,0,1,5.368570327758789,0.027066415175795555,3.831615924835205,4,0.007797270955165692,24,4.678362573099415,512,99.80506822612085,0.8014451265335083,4.5693888664245605,"
","49\n    """"""\n    return variance(numbers) ** 0.\n"
13147,humanevalplus,HumanEval/5,5,codellama_base,46,same_text__humanevalplus__task_0005__gen_00__HumanEval_5.npz,True,both_fail,1,1,0.0,0.0,0.0,0,0.0,-1,-1,0,0.0,1.1975420713424683,-2.917384624481201,  ,   if len(numbers) == 0:\n        return []\n    else
13147,humanevalplus,HumanEval/6,6,codellama_base,35,same_text__humanevalplus__task_0006__gen_00__HumanEval_6.npz,True,both_fail,1,1,17.986082077026367,1.192345380783081,17.986082077026367,5,0.14285714285714285,3,8.571428571428571,8,22.857142857142858,3.819993734359741,14.168344497680664,"
",  # TODO: Write your code here\n    return [max(len(x) for x in g) for g
13147,humanevalplus,HumanEval/7,7,codellama_base,14,same_text__humanevalplus__task_0007__gen_00__HumanEval_7.npz,True,both_pass,0,0,0.0,0.0,0.0,0,0.0,-1,-1,0,0.0,2.308043956756592,-3.6732327938079834,  ,   return [s for s in strings if substring in s]\n
13147,humanevalplus,HumanEval/8,8,codellama_base,24,same_text__humanevalplus__task_0008__gen_00__HumanEval_8.npz,True,both_fail,1,1,1.5497815608978271,0.064574234187603,0.0,1,0.041666666666666664,23,95.83333333333333,23,95.83333333333333,-0.27179163694381714,1.82383394241333,"
","reduce(lambda x, y: x * y, numbers, 1))\n"
13147,humanevalplus,HumanEval/9,9,codellama_base,55,same_text__humanevalplus__task_0009__gen_00__HumanEval_9.npz,True,regression,0,1,0.0,0.0,0.0,0,0.0,-1,-1,0,0.0,1.4032315015792847,-2.7501347064971924,  ,   result = []\n    max_value = None\n    for number in numbers
13147,humanevalplus,HumanEval/10,10,codellama_base,213,same_text__humanevalplus__task_0010__gen_00__HumanEval_10.npz,True,both_fail,1,1,2.159276008605957,0.010137446224689484,0.0,1,0.004694835680751174,113,53.051643192488264,113,53.051643192488264,3.3775529861450195,-1.216017723083496,  ,"Find the longest prefix of the supplied string that is a palindrome.\n    # If there is no such prefix, return the supplied string.\n    prefix"
13147,humanevalplus,HumanEval/11,11,codellama_base,29,same_text__humanevalplus__task_0011__gen_00__HumanEval_11.npz,True,regression,0,1,0.0,0.0,0.0,0,0.0,-1,-1,0,0.0,2.039095878601074,-2.343714714050293,  ,"   return ''.join(map(lambda x, y: str(int("
13147,humanevalplus,HumanEval/12,12,codellama_base,55,same_text__humanevalplus__task_0012__gen_00__HumanEval_12.npz,True,regression,0,1,0.0,0.0,0.0,0,0.0,-1,-1,0,0.0,1.6733633279800415,-2.718003034591675,  ,   if not strings:\n        return None\n    longest_string = strings[
13147,humanevalplus,HumanEval/13,13,codellama_base,33,same_text__humanevalplus__task_0013__gen_00__HumanEval_13.npz,True,both_pass,0,0,0.0,0.0,0.0,0,0.0,-1,-1,0,0.0,0.9755712747573853,-1.7722378969192505,  ,   if a == 0:\n        return b\n    else:\n       
