feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
0,0.5546363959821551,0.054636395982155084,0.054636395982155084,0.5004557494044304,0.022332777711896346,1.0,869,1.0,869,3.840040683746338,3.8572850227355957,6.2650675773620605,2.622025728225708,3.3827016353607178,4.3118181228637695,5.024358749389648,3.761402130126953,3.7639596462249756,5.970009803771973,3.8680129051208496,3.889113426208496,6.2650675773620605,False,True,high_activation_associated_with_failure
1,0.5735761009387744,0.07357610093877442,0.07357610093877442,0.49980498811006546,0.022379392483865904,0.8318336332733454,869,1.0,869,5.469302177429199,4.964603424072266,12.59683609008789,3.257446050643921,4.314558982849121,6.009305477142334,10.377616882324219,5.155588150024414,4.786872863769531,12.59683609008789,5.580883979797363,5.051392555236816,12.574041366577148,False,True,high_activation_associated_with_failure
2,0.5538358376440321,0.0538358376440321,0.0538358376440321,0.5001731409192085,0.022505417683272216,1.0,869,1.0,869,3.8174452781677246,3.8134937286376953,6.282069206237793,2.700995922088623,3.3899283409118652,4.253939628601074,4.948354244232178,3.7336084842681885,3.7457103729248047,5.962563514709473,3.847266674041748,3.8314661979675293,6.282069206237793,False,True,high_activation_associated_with_failure
3,0.500780031201248,0.0007800312012480326,0.0007800312012480326,0.4999969524979591,0.0013064465157237746,1.0,1,0.0011507479861910242,2,0.00015987546066753566,0.0,0.1389317810535431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021674224990420043,0.0,0.1389317810535431,False,True,high_activation_associated_with_failure
4,0.5015600624024961,0.0015600624024960652,0.0015600624024960652,0.5000248372018338,0.001866061846705154,1.0,2,0.0023014959723820483,3,0.00028259458485990763,0.0,0.2365238070487976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003831118519883603,0.0,0.2365238070487976,False,True,high_activation_associated_with_failure
5,0.5863508224539508,0.08635082245395076,0.08635082245395076,0.4998309930205345,0.022313657832564622,0.28374325134973005,869,1.0,869,4.520539283752441,4.475241184234619,7.506798267364502,3.1073544025421143,3.9628829956054688,5.071923732757568,6.047461032867432,4.331978797912598,4.274530410766602,7.169430255889893,4.587607383728027,4.546807765960693,7.506798267364502,False,True,high_activation_associated_with_failure
6,0.5313654651449216,0.031365465144921556,0.031365465144921556,0.5001829981029033,0.02256844713691715,1.0,869,1.0,869,4.517319202423096,4.469604015350342,8.360817909240723,3.057105541229248,3.9535303115844727,5.0514445304870605,6.082012176513672,4.454161643981934,4.400893688201904,7.529880046844482,4.53978157043457,4.482475280761719,8.360817909240723,False,True,high_activation_associated_with_failure
7,0.5317452171771081,0.0317452171771081,0.0317452171771081,0.49962636966109275,0.02224952799431909,1.0,869,1.0,868,4.7990641593933105,4.819108963012695,7.767316818237305,3.3487374782562256,4.2177324295043945,5.383272171020508,6.258310794830322,4.72981595993042,4.755291938781738,6.874961853027344,4.823693752288818,4.832712173461914,7.767316818237305,False,True,high_activation_associated_with_failure
8,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
9,0.5015600624024961,0.0015600624024960652,0.0015600624024960652,0.5000046201527119,0.001815431261434096,1.0,2,0.0023014959723820483,3,0.0004700002900790423,0.0,0.2642498314380646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006371766794472933,0.0,0.2642498314380646,False,True,high_activation_associated_with_failure
