source_model,feature_id,aggregation,pr_auc,failure_prevalence,normalized_pr_effect,effect_to_variability,null_mean,null_sd,p_maxT_across_features_and_aggregations,pass_mean_score,fail_mean_score,activation_support,mean_active_fraction,task_activation_entropy,decoder_base_norm,decoder_merged_norm,decoder_base_specificity,base_contribution_mean,merged_contribution_mean,first_p95_position_mean,first_quarter_activation_mean,second_quarter_activation_mean
deepseek_base,6258,p99,0.809694688519647,0.6118421052631579,0.5097219094065483,4.8669362832927465,0.6215647459030151,0.0386546365916729,0.024875621890547265,2.3846917152404785,3.0859224796295166,152,0.9297030568122864,0.8500141942912564,0.7310853600502014,0.6822856664657593,0.5172635316848755,0.8179773255349567,0.2650421929628994,0.24744568765163422,1.4476232528686523,1.2560513019561768
deepseek_base,6873,max,0.7929361965286821,0.6118421052631579,0.46654748936202844,4.011049652229064,0.6235994100570679,0.042217567563056946,0.12935323383084577,2.376960515975952,2.8687968254089355,150,0.905423641204834,0.8640934162415677,0.746040403842926,0.6659002304077148,0.5283794403076172,0.6465081412493057,0.3702641344192861,0.27111613750457764,1.3496001958847046,1.235215425491333
deepseek_base,11780,mean,0.7770971881630957,0.6118421052631579,0.42574190848797544,3.927054906326056,0.6260446906089783,0.038464587181806564,0.3383084577114428,0.7859092950820923,0.9869470000267029,151,0.8570103645324707,0.8359326570062997,0.7247909903526306,0.6889687776565552,0.5126691460609436,0.6097452233479345,0.23962909410487795,0.10430879890918732,1.1737253665924072,0.8559684753417969
deepseek_base,9611,p95,0.7740388693138821,0.6118421052631579,0.417862849757798,3.975397487743038,0.6239255666732788,0.037760600447654724,0.39303482587064675,1.4863241910934448,1.7878245115280151,151,0.8478094339370728,0.8383892730772141,0.734724760055542,0.678364634513855,0.5199421644210815,0.564754900710819,0.16989446955639415,0.33672717213630676,0.8077117204666138,0.8717520833015442
deepseek_base,15612,max,0.7730324258652066,0.6118421052631579,0.4152699785001933,3.9289465177978786,0.6203991174697876,0.0388483926653862,0.417910447761194,2.045503616333008,3.7038180828094482,151,0.8456979990005493,0.8421760762592146,0.7760292887687683,0.6306965351104736,0.5516563653945923,0.430563644234884,0.34224166393491395,0.25713637471199036,1.1744441986083984,1.2322378158569336
deepseek_base,15907,max,0.7714769522150756,0.6118421052631579,0.41126265655409316,4.127671639781483,0.6214308738708496,0.03635122999548912,0.4527363184079602,2.5908169746398926,3.2588143348693848,152,0.9173591732978821,0.8559013907494017,0.7307455539703369,0.6826499104499817,0.5170142650604248,0.8707608043999262,0.2397995568941251,0.23314344882965088,1.413161039352417,1.3543606996536255
deepseek_base,15021,p95,0.7716795531066386,0.6118421052631579,0.4117846113933741,3.570664585572877,0.6272985339164734,0.04043535515666008,0.4527363184079602,1.4441568851470947,1.7656733989715576,150,0.8395701050758362,0.8616538097259818,0.7189128398895264,0.6951009035110474,0.5084199905395508,0.6477967509388254,0.04162192180240814,0.34445229172706604,0.7754690051078796,0.8340019583702087
deepseek_base,10298,max,0.770331270123406,0.6118421052631579,0.40831106879250356,3.828913864541475,0.62286376953125,0.038514185696840286,0.4626865671641791,2.2494282722473145,2.88425874710083,152,0.8989067077636719,0.8477780001008787,0.7105384469032288,0.7036586403846741,0.5024324059486389,0.7530095460331,0.20594867630973643,0.29847320914268494,1.048588514328003,1.0695167779922485
deepseek_base,6744,mean,0.7689016640937714,0.6118421052631579,0.4046280159703941,3.9840037087891442,0.6212796568870544,0.037053633481264114,0.47761194029850745,0.8481416702270508,1.0737178325653076,152,0.9104174375534058,0.8357960118892823,0.6947559714317322,0.7192456126213074,0.491340309381485,0.795406551030917,0.14060026222161082,0.327449768781662,1.0131163597106934,0.9620025753974915
deepseek_base,12659,mean,0.7673763958702625,0.6118421052631579,0.4006985113945747,4.068742780922582,0.6225541830062866,0.03559385612607002,0.48258706467661694,0.6883794069290161,0.888401210308075,152,0.8870498538017273,0.8438266617546549,0.7088536620140076,0.7053554654121399,0.5012367963790894,0.6306406712294876,0.14295205239958336,0.30958396196365356,0.8398316502571106,0.7755436301231384
