feature_id,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
0,variant_decrease_associated_with_regression,0.842410306734658,0.4431830837957917,1.8864911012396581,1.0,True,155,1.0,155,1.5081244707107544,0.8837316632270813,-0.6243929266929626,-0.6082829236984253,-0.7139420509338379,-0.8082691431045532,-0.5763013362884521,-0.5612984895706177,-0.6082829236984253,-0.6082829236984253,-0.5980029702186584,-0.5984528660774231,0.7034919088887954,0.7169811320754716,-0.047661921926255985,-0.6406469096518563,0.842410306734658,0.7169811320754716,0.4431830837957917,1.8864911012396581,0.018867924528301886,0.00980392156862745,0.009153745563235567,-0.2889352856836765,0.02,0.00980392156862745,0.010297029702970298,-0.29201849263695767
1,neutral_or_degenerate,,,,,True,10,0.06451612903225806,11,0.0015295386547222733,0.0027840272523462772,0.001254488481208682,0.0,0.004249657969921827,0.0,0.0,0.0,0.0,0.0,0.00032632422517053783,0.0,0.7268638759453059,0.7169811320754716,0.03491902834008095,0.055320100288168,0.7140632091198713,0.7169811320754716,-0.010309994443121194,-0.6197830884014679,0.01,0.00980392156862745,0.00019801980198019836,-0.1917223755037676,0.010309278350515464,0.00980392156862745,0.0005103603143819536,-0.09494397220119227
2,variant_decrease_associated_with_regression,0.7896653579112568,0.2568175979531075,1.0033015315373308,1.0,True,155,1.0,155,1.279063105583191,0.9110081791877747,-0.3680548369884491,-0.3717834949493408,-0.43316519260406494,-0.40760648250579834,-0.3323371708393097,-0.2813544273376465,-0.1376938819885254,-0.1376938819885254,-0.3511433005332947,-0.38280582427978516,0.7141081585775781,0.7169811320754716,-0.010151173025890383,-0.4192393838451444,0.7896653579112568,0.7169811320754716,0.2568175979531075,1.0033015315373308,0.03333333333333333,0.00980392156862745,0.023762376237623763,-0.15446850422927458,0.0136986301369863,0.00980392156862745,0.003933270039332699,-0.41059864713935895
3,variant_decrease_associated_with_regression,0.768370613924848,0.1815761692011296,0.773972682145651,1.0,True,155,1.0,155,1.4561623334884644,1.0365543365478516,-0.41960787773132324,-0.441524863243103,-0.47526198625564575,-0.4350871741771698,-0.3898538649082184,-0.5189371705055237,-0.607741117477417,-0.607741117477417,-0.4012250006198883,-0.43983328342437744,0.7213471121917545,0.7169811320754716,0.015426463077532782,-0.3753750333022324,0.768370613924848,0.7169811320754716,0.1815761692011296,0.773972682145651,0.013888888888888888,0.00980392156862745,0.004125412541254125,-0.4347722355303124,0.03225806451612903,0.00980392156862745,0.022676461194506545,-0.08506703424038728
4,variant_decrease_associated_with_regression,0.8862987126802478,0.5982554514702091,2.899246682686533,1.0,True,155,1.0,155,1.1037334203720093,0.6945883631706238,-0.4091450870037079,-0.4293379783630371,-0.5001007318496704,-0.4546407163143158,-0.3151279091835022,-0.32816874980926514,-0.11288493871688843,-0.11288493871688843,-0.3918202817440033,-0.47404229640960693,0.6201802637120375,0.7169811320754716,-0.34202973488413396,-2.209887233889789,0.8862987126802478,0.7169811320754716,0.5982554514702091,2.899246682686533,0.043478260869565216,0.00980392156862745,0.034007748600947046,-0.15701574767731116,0.0125,0.00980392156862745,0.0027227722772277235,-0.4015089515470312
5,variant_decrease_associated_with_regression,0.8807368961038387,0.5786036995668966,2.566708618554766,1.0,True,155,1.0,155,1.2785704135894775,1.1030347347259521,-0.17553558945655823,-0.16212069988250732,-0.2931307852268219,-0.30330443382263184,0.04609913006424904,0.0654759407043457,-0.5819281935691833,-0.5819281935691833,-0.16018421947956085,-0.1576066017150879,0.5994022061169678,0.7169811320754716,-0.4154455383867135,-2.5011254840136385,0.8807368961038387,0.7169811320754716,0.5786036995668966,2.566708618554766,0.011627906976744186,0.00980392156862745,0.0018420446695832373,-0.39603922532185454,0.058823529411764705,0.00980392156862745,0.0495049504950495,0.22170814235602634
6,variant_decrease_associated_with_regression,0.854202303564142,0.48484813925996834,2.076732766366215,1.0,True,155,1.0,155,1.4252467155456543,1.1903951168060303,-0.23485153913497925,-0.20298230648040771,-0.2957155406475067,-0.23732644319534302,-0.009026682004332542,-0.05933189392089844,0.13193035125732422,0.13193035125732422,-0.24912209808826447,-0.2359161376953125,0.6211743037498594,0.7169811320754716,-0.33851746008382994,-1.9565000010962277,0.854202303564142,0.7169811320754716,0.48484813925996834,2.076732766366215,0.06666666666666667,0.00980392156862745,0.05742574257425742,0.021842762717013273,0.011363636363636364,0.00980392156862745,0.0015751575157515756,-0.35078495320139375
7,variant_decrease_associated_with_regression,0.8131806895699769,0.33990510314725186,1.3934483510793094,1.0,True,155,1.0,155,1.2464641332626343,0.8943472504615784,-0.35211682319641113,-0.39001381397247314,-0.44986334443092346,-0.41058629751205444,-0.3396568298339844,-0.24270790815353394,-0.44092005491256714,-0.44092005491256714,-0.31631219387054443,-0.4183313250541687,0.7243275116793831,0.7169811320754716,0.025957207933820593,-0.24315310294650813,0.8131806895699769,0.7169811320754716,0.33990510314725186,1.3934483510793094,0.018518518518518517,0.00980392156862745,0.0088008800880088,-0.2743894524484678,0.02040816326530612,0.00980392156862745,0.010709234188724994,-0.2559842243957611
8,neutral_or_degenerate,,,,,True,10,0.06451612903225806,11,0.005060285795480013,0.0006365570588968694,-0.0044237286783754826,0.0,-0.009014911018311977,0.0,0.0,0.0,0.0,0.0,-0.0033971420489251614,0.0,0.7140632091198713,0.7169811320754716,-0.010309994443121194,-0.6868890763744784,0.7268638759453059,0.7169811320754716,0.03491902834008095,0.06448968975055189,0.010526315789473684,0.00980392156862745,0.0007295466388744136,0.23952660396110012,0.00980392156862745,0.00980392156862745,0.0,-0.20582115329135334
9,variant_decrease_associated_with_regression,0.8458625719080507,0.4553810874084459,1.7464720833510625,1.0,True,155,1.0,155,2.0023560523986816,0.9714819192886353,-1.0308741331100464,-1.0818743705749512,-1.2624012231826782,-1.4083240032196045,-0.4123607575893402,-0.11234307289123535,-1.770907998085022,-1.770907998085022,-1.0282964706420898,-1.1635501384735107,0.598727891718302,0.7169811320754716,-0.4178281159286661,-2.463804143487886,0.8458625719080507,0.7169811320754716,0.4553810874084459,1.7464720833510625,0.012658227848101266,0.00980392156862745,0.0028825667376864267,-0.3219704696416072,0.041666666666666664,0.00980392156862745,0.03217821782178217,-0.006528468185181434
10,variant_decrease_associated_with_regression,0.8658325315997065,0.5259416116522965,2.2397314963472827,1.0,True,155,1.0,155,1.189943790435791,0.9041971564292908,-0.28574666380882263,-0.2763890027999878,-0.4075164496898651,-0.3718135952949524,-0.17176802456378937,-0.220794677734375,-0.25234055519104004,-0.25234055519104004,-0.2571905255317688,-0.24621981382369995,0.6169413798572349,0.7169811320754716,-0.3534737911711033,-2.1533539808849063,0.8658325315997065,0.7169811320754716,0.5259416116522965,2.2397314963472827,0.019230769230769232,0.00980392156862745,0.009520182787509521,-0.30071228987241944,0.0196078431372549,0.00980392156862745,0.009900990099009901,-0.2639606965890688
11,neutral_or_degenerate,,,,,True,15,0.0967741935483871,16,0.0019159761723130941,0.004483671393245459,0.002567694755271077,0.0,0.0015710998559370637,0.0,0.002814848907291889,0.0,0.0,0.0,0.0029313683044165373,0.0,0.724428997020854,0.7169811320754716,0.02631578947368412,0.08849068153640795,0.7252662733415114,0.7169811320754716,0.02927416580667375,0.4917653609913751,0.010101010101010102,0.00980392156862745,0.00030003000300030103,-0.23101049244594354,0.010869565217391304,0.00980392156862745,0.0010761945759793369,-0.16945350189946118
12,neutral_or_degenerate,,,,,True,26,0.16774193548387098,27,0.003596567315980792,0.011739587411284447,0.008143020793795586,0.0,0.020633036270737648,0.0,0.004143316764384508,0.0,0.0,0.0,0.004118447192013264,0.0,0.7490680005101117,0.7169811320754716,0.11337360180239478,0.6774984155417201,0.7083761287145719,0.7169811320754716,-0.03040434520851246,-0.6595545624132234,0.010416666666666666,0.00980392156862745,0.0006188118811881184,-0.2374993759877451,0.010869565217391304,0.00980392156862745,0.0010761945759793369,-0.19943868839577827
13,variant_decrease_associated_with_improvement,0.045454545454545456,0.036003600360036005,0.1374663599280389,1.0,True,155,1.0,155,1.8185009956359863,1.1506961584091187,-0.6678048372268677,-0.727709949016571,-0.8446078896522522,-0.8843035697937012,-1.017332673072815,-0.9615274667739868,-0.9450027942657471,-0.9450027942657471,-0.5466302633285522,-0.6114123463630676,0.8372014884074832,0.7169811320754716,0.42477859237310744,1.806790213399183,0.6672036886332329,0.7169811320754716,-0.175880300162577,-1.3240980495100567,0.012345679012345678,0.00980392156862745,0.0025669233590025664,-0.3293731809329588,0.045454545454545456,0.00980392156862745,0.036003600360036005,0.1374663599280389
14,neutral_or_degenerate,,,,,True,17,0.10967741935483871,18,0.0003370719205122441,0.0028803464956581593,0.0025432745460420847,0.0,0.0031320471316576004,0.0,-0.0032239938154816628,0.0,0.0,0.0,0.0032034616451710463,0.0,0.7591093117408907,0.7169811320754716,0.14885290148448058,1.9273420237711973,0.6954273337170785,0.7169811320754716,-0.07615675419965563,-1.6035304829001453,0.009900990099009901,0.00980392156862745,9.802960494069234e-05,-0.24531591780977471,0.01098901098901099,0.00980392156862745,0.0011968229790011978,0.3077214449047725
15,neutral_or_degenerate,,,,,True,6,0.03870967741935484,7,0.001773033756762743,0.0017698918236419559,-3.14193380290817e-06,0.0,0.003941626753658056,0.0,0.0,0.0,0.0,0.0,-0.001487809931859374,0.0,0.7318768619662364,0.7169811320754716,0.052631578947368626,0.8447872901861965,0.706323271039376,0.7169811320754716,-0.03765777566087137,-0.873145613032407,0.009900990099009901,0.00980392156862745,9.802960494069234e-05,-0.11407911998786141,0.010101010101010102,0.00980392156862745,0.00030003000300030103,-0.07083809789714852
16,neutral_or_degenerate,,,,,True,16,0.1032258064516129,17,0.0028650788590312004,0.007517261430621147,0.004652183502912521,0.0,0.004608241841197014,0.0,0.002440107287839055,0.0,0.0,0.0,0.005043303593993187,0.0,0.736782904285387,0.7169811320754716,0.06996626180836739,0.2907748971997381,0.7164128331800217,0.7169811320754716,-0.002007989430589855,-0.24192438330233676,0.01020408163265306,0.00980392156862745,0.00040412204485754626,-0.18091451817926832,0.010416666666666666,0.00980392156862745,0.0006188118811881184,-0.18854500730188792
17,variant_decrease_associated_with_regression,0.7937782961836365,0.27134997984884907,1.192745663635678,1.0,True,155,1.0,155,1.3778791427612305,1.2211384773254395,-0.15674076974391937,-0.19653582572937012,-0.3352496922016144,-0.2805085778236389,-0.11933905631303787,-0.10159695148468018,0.292463481426239,0.292463481426239,-0.09958125650882721,-0.1202932596206665,0.6295066654491507,0.7169811320754716,-0.30907644874633405,-2.020888831929795,0.7937782961836365,0.7169811320754716,0.27134997984884907,1.192745663635678,0.05263157894736842,0.00980392156862745,0.04325169359041167,0.022749475528387967,0.011904761904761904,0.00980392156862745,0.002121640735502121,-0.31114255001169067
18,variant_decrease_associated_with_regression,0.7346722052098861,0.06250845840826429,-0.022042157123105956,1.0,True,155,1.0,155,1.2860125303268433,1.0174094438552856,-0.2686031758785248,-0.23636341094970703,-0.2863234877586365,-0.2574816346168518,-0.30120381712913513,-0.2934938669204712,0.07747626304626465,0.07747626304626465,-0.2605210244655609,-0.23247754573822021,0.7806720288402504,0.7169811320754716,0.22504116856888504,0.7970747977081111,0.7346722052098861,0.7169811320754716,0.06250845840826429,-0.022042157123105956,0.05555555555555555,0.00980392156862745,0.0462046204620462,-0.04578706741077511,0.011764705882352941,0.00980392156862745,0.0019801980198019802,-0.4468324703001584
19,variant_decrease_associated_with_regression,0.7762032836716168,0.20925160230637962,0.7250776322901344,1.0,True,155,1.0,155,1.5731871128082275,0.9998903274536133,-0.5732966661453247,-0.6215720176696777,-0.7199639678001404,-0.7730613946914673,-0.6193950176239014,-0.7228456139564514,-0.9635593891143799,-0.9635593891143799,-0.5074045658111572,-0.5844900012016296,0.6880132281237087,0.7169811320754716,-0.10235326062956246,-0.9325810434011481,0.7762032836716168,0.7169811320754716,0.20925160230637962,0.7250776322901344,0.011764705882352941,0.00980392156862745,0.0019801980198019802,-0.33595952906756604,0.05555555555555555,0.00980392156862745,0.0462046204620462,0.1561420929318227
