task_id,group,own_text_mean_delta_norm,same_text_direction_cosine_across_source_texts,own_text_delta_cosine_same_text_base_code,own_text_delta_cosine_same_text_finetuned_code,base_code_length_tokens,finetuned_code_length_tokens,globally_centered_same_text_delta_norm,globally_centered_own_text_delta_norm,centered_same_vs_own_cosine
HumanEval/18,base_pass_finetuned_fail,33.6693115234375,0.46384987235069275,0.5670620203018188,0.8260223269462585,99,64,29.905759811401367,26.019142150878906,0.41993188858032227
HumanEval/39,base_pass_finetuned_fail,61.32581329345703,0.4148334264755249,0.5926852226257324,0.9050904512405396,192,108,31.41515350341797,48.245784759521484,0.8735862970352173
HumanEval/49,base_pass_finetuned_fail,41.17644500732422,0.42149558663368225,0.5439087748527527,0.7580660581588745,11,46,30.445491790771484,33.3449821472168,0.592397153377533
HumanEval/70,base_pass_finetuned_fail,39.77858352661133,0.5474036931991577,0.758113443851471,0.871286153793335,141,35,21.376319885253906,26.528104782104492,0.6155648827552795
HumanEval/76,base_pass_finetuned_fail,41.978302001953125,0.8806807994842529,0.9340382218360901,0.8501716256141663,40,41,23.151268005371094,29.21954917907715,0.9194597005844116
HumanEval/82,base_pass_finetuned_fail,43.50547409057617,-0.0061037130653858185,0.3974735140800476,0.6063438653945923,104,47,30.514162063598633,38.47885513305664,0.6185698509216309
HumanEval/127,base_pass_finetuned_fail,35.66487121582031,0.838423490524292,0.9838854074478149,0.8499800562858582,77,180,27.588397979736328,28.459070205688477,0.9220976829528809
HumanEval/1,base_fail_finetuned_pass,41.70109176635742,0.278985857963562,0.5532981157302856,0.4728354811668396,11,215,28.943992614746094,37.42304229736328,0.564323902130127
HumanEval/6,base_fail_finetuned_pass,60.76718521118164,0.24916952848434448,0.3293045461177826,0.9250981211662292,32,93,25.672765731811523,46.24978256225586,0.8916250467300415
HumanEval/8,base_fail_finetuned_pass,49.16494369506836,0.9145913124084473,0.9040245413780212,0.8782499432563782,15,42,38.303733825683594,32.960693359375,0.9002643823623657
HumanEval/10,base_fail_finetuned_pass,62.317344665527344,0.3096511960029602,0.33726736903190613,0.9933445453643799,58,71,31.83131217956543,48.95528030395508,0.9055002927780151
HumanEval/26,base_fail_finetuned_pass,57.00074005126953,0.3553256392478943,0.4832523465156555,0.8926302194595337,10,45,34.807472229003906,44.0505256652832,0.7026129961013794
HumanEval/36,base_fail_finetuned_pass,43.35499572753906,0.9225353598594666,0.9247784614562988,0.9546938538551331,40,51,34.66046142578125,33.15085220336914,0.9494205117225647
HumanEval/46,base_fail_finetuned_pass,35.57221984863281,0.4968372583389282,0.5943513512611389,0.8707221150398254,121,95,24.47117042541504,29.11980628967285,0.6621183156967163
HumanEval/47,base_fail_finetuned_pass,37.8914680480957,0.9823108911514282,0.9687881469726562,0.939855694770813,64,63,30.957822799682617,30.887752532958984,0.9634172916412354
HumanEval/61,base_fail_finetuned_pass,37.74413299560547,0.833528995513916,0.9895794987678528,0.838079571723938,67,69,28.87029266357422,29.46478271484375,0.9029772281646729
HumanEval/62,base_fail_finetuned_pass,73.45504760742188,0.9780322909355164,0.9919023513793945,0.9836678504943848,29,23,50.432254791259766,62.84857940673828,0.968901515007019
HumanEval/0,both_pass,33.51262283325195,0.6727903485298157,0.8616251945495605,0.8779741525650024,56,47,29.264245986938477,30.96453285217285,0.9192883968353271
HumanEval/2,both_pass,68.02310180664062,0.36748582124710083,0.5150149464607239,0.920661211013794,7,27,35.80012893676758,53.28449249267578,0.8495608568191528
HumanEval/3,both_pass,56.509544372558594,1.0,0.9769228100776672,0.9769228100776672,32,32,35.78041076660156,40.69658279418945,0.9892271161079407
HumanEval/4,both_pass,62.49692153930664,0.354148268699646,0.3937135338783264,0.9763644933700562,37,77,26.87255859375,44.937347412109375,0.826829195022583
HumanEval/7,both_pass,68.15451049804688,1.0000001192092896,0.9998358488082886,0.9998358488082886,15,15,53.15179443359375,49.69439697265625,0.9917488098144531
HumanEval/9,both_pass,51.00088119506836,1.0000001192092896,0.996414065361023,0.996414065361023,49,49,40.93126678466797,40.734275817871094,0.9833551645278931
HumanEval/11,both_pass,55.2775764465332,0.4013140797615051,0.4610181748867035,0.9668552279472351,32,40,35.91737365722656,46.703834533691406,0.6931363344192505
HumanEval/12,both_pass,39.08793258666992,0.5886496305465698,0.619706392288208,0.9556170701980591,63,69,26.530216217041016,27.341413497924805,0.8078837394714355
HumanEval/13,both_pass,61.30894088745117,0.2814987301826477,0.33193278312683105,0.915387749671936,54,23,34.224178314208984,47.2742805480957,0.7572306394577026
HumanEval/14,both_pass,43.56072235107422,1.0,0.995169460773468,0.995169460773468,22,22,35.529109954833984,34.07913589477539,0.9779319763183594
HumanEval/5,both_fail,59.39675521850586,0.9150543212890625,0.9989870190620422,0.9122796058654785,16,56,50.61116409301758,46.05181884765625,0.9533717632293701
HumanEval/32,both_fail,35.71505355834961,0.44696739315986633,0.5233371257781982,0.8686399459838867,40,134,23.83336639404297,30.21480369567871,0.8684664964675903
HumanEval/33,both_fail,40.485870361328125,0.9855071902275085,0.958574652671814,0.9280574321746826,53,58,24.10169792175293,29.552248001098633,0.9594727158546448
HumanEval/37,both_fail,62.114009857177734,0.3882141709327698,0.44676703214645386,0.9628830552101135,35,67,28.09719467163086,44.916465759277344,0.8397018909454346
HumanEval/41,both_fail,37.6627197265625,0.8765509128570557,0.6469089388847351,0.5522596836090088,13,63,34.18101119995117,42.45524215698242,0.7191520929336548
HumanEval/54,both_fail,63.88372039794922,1.0,0.9903499484062195,0.9903499484062195,28,28,44.78617858886719,50.25519943237305,0.9943058490753174
HumanEval/64,both_fail,42.28268051147461,0.41680091619491577,0.5271263718605042,0.8169499039649963,18,192,27.957883834838867,31.777795791625977,0.5435107350349426
HumanEval/67,both_fail,55.35603332519531,0.26180052757263184,0.5714346766471863,0.8244569301605225,511,95,27.98375701904297,44.68775177001953,0.8317856788635254
HumanEval/75,both_fail,57.32712936401367,0.9802154302597046,0.9833818674087524,0.9936506748199463,39,44,38.242950439453125,44.12406921386719,0.9910067319869995
HumanEval/77,both_fail,38.87523651123047,0.4129996597766876,0.5749457478523254,0.7713544964790344,41,144,22.152156829833984,28.20558738708496,0.6772556304931641
