analysis,task_id,outcome,leave_one_task_out_margin,predicted_outcome,correct
same_text,HumanEval/18,regression,0.3014149069786072,improvement,False
same_text,HumanEval/39,regression,0.3233368396759033,improvement,False
same_text,HumanEval/49,regression,0.1681913435459137,improvement,False
same_text,HumanEval/70,regression,-0.041027262806892395,regression,True
same_text,HumanEval/76,regression,0.019891545176506042,improvement,False
same_text,HumanEval/82,regression,-0.18335415422916412,regression,True
same_text,HumanEval/127,regression,-0.14195150136947632,regression,True
same_text,HumanEval/1,improvement,0.17274226248264313,improvement,True
same_text,HumanEval/6,improvement,0.3400421440601349,improvement,True
same_text,HumanEval/8,improvement,0.2167019248008728,improvement,True
same_text,HumanEval/10,improvement,0.045217856764793396,improvement,True
same_text,HumanEval/26,improvement,0.04738147556781769,improvement,True
same_text,HumanEval/36,improvement,-0.05746053159236908,regression,False
same_text,HumanEval/46,improvement,0.005001679062843323,improvement,True
same_text,HumanEval/47,improvement,-0.20030947029590607,regression,False
same_text,HumanEval/61,improvement,-0.3273833394050598,regression,False
same_text,HumanEval/62,improvement,0.18774038553237915,improvement,True
same_text,HumanEval/65,improvement,0.2379663586616516,improvement,True
same_text,HumanEval/68,improvement,0.4825504422187805,improvement,True
same_text,HumanEval/69,improvement,0.20532047748565674,improvement,True
same_text,HumanEval/73,improvement,-0.3558461666107178,regression,False
same_text,HumanEval/74,improvement,-0.21531076729297638,regression,False
same_text,HumanEval/78,improvement,0.5515545606613159,improvement,True
same_text,HumanEval/85,improvement,0.0818103477358818,improvement,True
same_text,HumanEval/86,improvement,0.5424618721008301,improvement,True
same_text,HumanEval/87,improvement,0.5883607864379883,improvement,True
same_text,HumanEval/90,improvement,0.45150747895240784,improvement,True
same_text,HumanEval/95,improvement,-0.2830449342727661,regression,False
same_text,HumanEval/96,improvement,0.4434886574745178,improvement,True
same_text,HumanEval/98,improvement,0.37621191143989563,improvement,True
same_text,HumanEval/99,improvement,0.040039658546447754,improvement,True
same_text,HumanEval/102,improvement,0.5795990228652954,improvement,True
same_text,HumanEval/104,improvement,0.5371796488761902,improvement,True
same_text,HumanEval/105,improvement,-0.22783824801445007,regression,False
same_text,HumanEval/107,improvement,0.12097139656543732,improvement,True
same_text,HumanEval/111,improvement,0.17379498481750488,improvement,True
same_text,HumanEval/113,improvement,-0.21533863246440887,regression,False
